Item,Description,Qty,Price
AllPartsGS-0008-002GoldHumbuckingRingScrews,"Humbucking Pickup Ring Screws (8 pieces), Tall, Gold, #2 x 3/4""",1,TK550.00
AllPartsGS-0007-002GoldSingleCoilPickupScrews,"Pickup Mounting Screws (8) for Stratocaster® with Six Springs, Gold, #6 - 32 x 3/4""",1,"TK1,100.00"
AllPartsGS-0001-002GoldPickguardScrews,"Gold pickguard screws, 20 pieces, Phillips head, #4 x 1/2 inch.",1,"TK1,600.00"
AllPartsPC-0446-025PickupCoversStrat,White plastic pickup cover set for Stratocaster®. No holes. Includes 3 pieces. 3 inch screw hole spacing. Inside dimensions 5/8 x 2 and 11/16 inch.,1,TK750.00
DiagoPowerSupplyPowerstationPS01,"Diago Power Supply (PS01) 3A with 1 x Powerstation Base Unit, 1 x Deluxe Daisy Chain, 1 x AC Mains Cable, 1 x Strip of Velcro, 1 x Instruction Manual",1,"TK7,500.00"
Tech21ProgBassDriverDI,Tech 21 SansAmp Programmable Bass Driver DI,1,"TK18,500.00"
HerculesGuitarStandsGS432B,"Hercules Stands GS432B Hanging Guitar Stand - Triple: Three-space Guitar Stand for Electric, Acoustic, and Bass Guitars, with Specially-formulated Foam Covering, Folding Backrests, and 66 lbs. Capacity",1,"TK12,500.00"
Midi Controller,Novation Launchpad Mini: Compact Pad Controller with 64 x Tricolor Backlit Performance Pads and 16 x Programmable Soft Buttons,1,"TK11,000.00"
Amp Service,Amp Service and Modification,1,"TK1,000.00"
DBZBBRCRX,DBZ Bare Bones Religion Crucifixion (BBR CRX) with Original DBZ Hardcase.,1,"TK50,000.00"
MXREVH90,MXR EVH Phase 90,1,"TK12,500.00"
Midi Interface,"IK Multimedia iRig PRO Audio/MIDI Interface - iOS/Mac: iOS/USB Audio Interface with Balanced Input, 24-bit Resolution, and 48V Phantom Power - Mac/iOS",1,"TK16,000.00"
drums Trigger,ddrum Red Shot Trigger Kit: 5-piece Acoustic Drum Trigger Kit with 4 Snare/Tom Triggers and 1 Kick Trigger,1,"TK12,000.00"
ReverendSenseiRAFMBlueBurst,Reverend Sensei RA FM Guitar Blue Burst without Hard Case,1,"TK75,000.00"
Tech21BlondeV2,Tech 21 Character Series Blonde V2,1,"TK15,000.00"
DunlopClassicalStringSetDVPV101,Dunlop Premier Series Classical Guitar 6 String Set Straight End Normal Tension (DVPV101),1,TK600.00
ReverendSixGunIIITobaccoBurst,Reverend Six Gun III Guitar Tobacco Burst with Original Hard Case,1,"TK90,000.00"
Carvin TS100 100W Tube Power Amp,Carvin TS100 100W Tube Power Amp,1,"TK60,000.00"
WamplerPlextortion,Wampler Plextortion,1,"TK19,000.00"
AllPartsSperzel6-in-lineChromeLockingTunersTK-7467-010,"Sperzel 6-in-line Chrome Locking Tuners: Sperzel Locking Keys, Chrome plated, 6L, 12:1, with bushings and washers. String posts have graduated heights . Single pin mount, no mounting screws needed. For 9/16"" - 11/16"" thick headstocks, requires 10mm (13/32"")-diameter holes.",1,"TK9,500.00"
Tech21Leeds,Tech 21 Character Series Leeds,1,"TK15,000.00"
FernandesMontereyBass4XBlack,Fernandes Monterey® Bass 4 X Black,1,"TK35,000.00"
DunlopStrapLockSLS1032BR,Dunlop Dual Design Straplok System - Bronze,1,"TK1,800.00"
DunlopDBN45130,Dunlop Electric Bass 5 Strings Nickel Medium 45-130,1,"TK1,800.00"
RotosoundBassStringsRS665LDN,Rotosound RS665LDN Swing Bass 66 Nickel Roundwound Long Scale 5-String Bass Strings .045-.130,1,"TK3,000.00"
StrapLkDDBlk,Dunlop Dual Design Straplok System - Black,1,"TK1,350.00"
Expression Pedal,Source Audio SA161 Dual Expression Pedal,1,"TK10,500.00"
FernandesTrituradorDeluxeBlack,Fernandes Triturador® Deluxe Black with Original Hard Case,1,"TK105,000.00"
Vat and Tax,Vat and Tax,1,TK0.00
DBZBBRDKA,DBZ Bare Bones Religion Dark Angel (BBR DKA) with Original Hardcase.,1,"TK52,500.00"
